STATE US ABBREVIATION,RC-PAIN RELIEVERS - PAST YEAR MISUSE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,274487000,N/A,1650000
AK,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,585000,N/A,20000
AL,Overall,0.015,0.0007,0.014,0.016,1,0,N/A,N/A,0.015,0.0007,0.014,0.016,4101000,N/A,183000
AR,Overall,0.009,0.0003,0.008,0.01,1,0,N/A,N/A,0.009,0.0003,0.008,0.01,2499000,N/A,93000
AZ,Overall,0.022,0.0015,0.019,0.025,1,0,N/A,N/A,0.022,0.0015,0.019,0.025,6042000,N/A,425000
CA,Overall,0.121,0.0023,0.116,0.125,1,0,N/A,N/A,0.121,0.0023,0.116,0.125,33110000,N/A,679000
CO,Overall,0.018,0.0009,0.016,0.019,1,0,N/A,N/A,0.018,0.0009,0.016,0.019,4806000,N/A,245000
CT,Overall,0.011,0.0005,0.01,0.012,1,0,N/A,N/A,0.011,0.0005,0.01,0.012,3060000,N/A,137000
DC,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,598000,N/A,29000
DE,Overall,0.003,0.0002,0.003,0.003,1,0,N/A,N/A,0.003,0.0002,0.003,0.003,822000,N/A,45000
FL,Overall,0.067,0.0019,0.063,0.071,1,0,N/A,N/A,0.067,0.0019,0.063,0.071,18293000,N/A,544000
GA,Overall,0.032,0.0011,0.03,0.034,1,0,N/A,N/A,0.032,0.0011,0.03,0.034,8732000,N/A,317000
HI,Overall,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,0.004,0.0002,0.004,0.005,1156000,N/A,59000
IA,Overall,0.01,0.0004,0.009,0.01,1,0,N/A,N/A,0.01,0.0004,0.009,0.01,2632000,N/A,119000
ID,Overall,0.005,0.0002,0.005,0.006,1,0,N/A,N/A,0.005,0.0002,0.005,0.006,1458000,N/A,61000
IL,Overall,0.039,0.0011,0.037,0.041,1,0,N/A,N/A,0.039,0.0011,0.037,0.041,10672000,N/A,299000
IN,Overall,0.02,0.0008,0.019,0.022,1,0,N/A,N/A,0.02,0.0008,0.019,0.022,5586000,N/A,209000
KS,Overall,0.009,0.0004,0.008,0.009,1,0,N/A,N/A,0.009,0.0004,0.008,0.009,2384000,N/A,103000
KY,Overall,0.014,0.0006,0.012,0.015,1,0,N/A,N/A,0.014,0.0006,0.012,0.015,3719000,N/A,168000
LA,Overall,0.014,0.0007,0.013,0.015,1,0,N/A,N/A,0.014,0.0007,0.013,0.015,3821000,N/A,200000
MA,Overall,0.022,0.0008,0.02,0.023,1,0,N/A,N/A,0.022,0.0008,0.02,0.023,5947000,N/A,212000
MD,Overall,0.018,0.0008,0.017,0.02,1,0,N/A,N/A,0.018,0.0008,0.017,0.02,5059000,N/A,209000
ME,Overall,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,0.004,0.0002,0.004,0.005,1166000,N/A,50000
MI,Overall,0.031,0.0007,0.03,0.032,1,0,N/A,N/A,0.031,0.0007,0.03,0.032,8488000,N/A,201000
MN,Overall,0.017,0.0007,0.016,0.019,1,0,N/A,N/A,0.017,0.0007,0.016,0.019,4706000,N/A,192000
MO,Overall,0.019,0.0007,0.017,0.02,1,0,N/A,N/A,0.019,0.0007,0.017,0.02,5116000,N/A,192000
MS,Overall,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,0.009,0.0004,0.008,0.01,2453000,N/A,96000
MT,Overall,0.003,0.0001,0.003,0.003,1,0,N/A,N/A,0.003,0.0001,0.003,0.003,898000,N/A,30000
NC,Overall,0.032,0.0012,0.029,0.034,1,0,N/A,N/A,0.032,0.0012,0.029,0.034,8726000,N/A,344000
ND,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,619000,N/A,26000
NE,Overall,0.006,0.0002,0.005,0.006,1,0,N/A,N/A,0.006,0.0002,0.005,0.006,1584000,N/A,60000
NH,Overall,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,0.004,0.0002,0.004,0.005,1180000,N/A,47000
NJ,Overall,0.027,0.001,0.026,0.029,1,0,N/A,N/A,0.027,0.001,0.026,0.029,7526000,N/A,278000
NM,Overall,0.006,0.0003,0.006,0.007,1,0,N/A,N/A,0.006,0.0003,0.006,0.007,1747000,N/A,87000
NV,Overall,0.009,0.0005,0.008,0.01,1,0,N/A,N/A,0.009,0.0005,0.008,0.01,2561000,N/A,126000
NY,Overall,0.06,0.0015,0.058,0.063,1,0,N/A,N/A,0.06,0.0015,0.058,0.063,16572000,N/A,424000
OH,Overall,0.036,0.0009,0.034,0.038,1,0,N/A,N/A,0.036,0.0009,0.034,0.038,9825000,N/A,260000
OK,Overall,0.012,0.0006,0.011,0.013,1,0,N/A,N/A,0.012,0.0006,0.011,0.013,3234000,N/A,152000
OR,Overall,0.013,0.0004,0.012,0.014,1,0,N/A,N/A,0.013,0.0004,0.012,0.014,3591000,N/A,108000
PA,Overall,0.04,0.0011,0.037,0.042,1,0,N/A,N/A,0.04,0.0011,0.037,0.042,10878000,N/A,319000
RI,Overall,0.003,0.0002,0.003,0.004,1,0,N/A,N/A,0.003,0.0002,0.003,0.004,910000,N/A,43000
SC,Overall,0.016,0.0008,0.014,0.017,1,0,N/A,N/A,0.016,0.0008,0.014,0.017,4289000,N/A,210000
SD,Overall,0.003,0.0001,0.002,0.003,1,0,N/A,N/A,0.003,0.0001,0.002,0.003,718000,N/A,41000
TN,Overall,0.021,0.001,0.019,0.023,1,0,N/A,N/A,0.021,0.001,0.019,0.023,5699000,N/A,267000
TX,Overall,0.085,0.0022,0.081,0.09,1,0,N/A,N/A,0.085,0.0022,0.081,0.09,23465000,N/A,649000
UT,Overall,0.009,0.0003,0.009,0.01,1,0,N/A,N/A,0.009,0.0003,0.009,0.01,2540000,N/A,93000
VA,Overall,0.026,0.001,0.024,0.028,1,0,N/A,N/A,0.026,0.001,0.024,0.028,7081000,N/A,284000
VT,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,546000,N/A,25000
WA,Overall,0.023,0.0009,0.021,0.025,1,0,N/A,N/A,0.023,0.0009,0.021,0.025,6350000,N/A,262000
WI,Overall,0.018,0.0008,0.016,0.02,1,0,N/A,N/A,0.018,0.0008,0.016,0.02,4920000,N/A,226000
WV,Overall,0.006,0.0003,0.005,0.006,1,0,N/A,N/A,0.006,0.0003,0.005,0.006,1534000,N/A,74000
WY,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,479000,N/A,19000
Overall,0 - Did not misuse in the past year,0.964,0.0008,0.963,0.966,0.964,0.0008,0.963,0.966,1,0,N/A,N/A,264651000,N/A,1612000
AK,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.958,0.0051,0.947,0.967,0.002,0.0001,0.002,0.002,560000,N/A,18000
AL,0 - Did not misuse in the past year,0.014,0.0006,0.013,0.015,0.947,0.008,0.928,0.96,0.015,0.0006,0.013,0.016,3882000,N/A,170000
AR,0 - Did not misuse in the past year,0.009,0.0003,0.008,0.009,0.965,0.0051,0.954,0.974,0.009,0.0004,0.008,0.01,2412000,N/A,95000
AZ,0 - Did not misuse in the past year,0.021,0.0015,0.018,0.024,0.96,0.0044,0.95,0.968,0.022,0.0015,0.019,0.025,5800000,N/A,412000
CA,0 - Did not misuse in the past year,0.116,0.0022,0.112,0.121,0.963,0.003,0.956,0.968,0.12,0.0023,0.116,0.125,31880000,N/A,654000
CO,0 - Did not misuse in the past year,0.017,0.0009,0.015,0.019,0.954,0.0105,0.929,0.971,0.017,0.0009,0.016,0.019,4586000,N/A,239000
CT,0 - Did not misuse in the past year,0.011,0.0005,0.01,0.012,0.969,0.0054,0.956,0.978,0.011,0.0005,0.01,0.012,2965000,N/A,132000
DC,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.96,0.0066,0.944,0.971,0.002,0.0001,0.002,0.002,574000,N/A,28000
DE,0 - Did not misuse in the past year,0.003,0.0002,0.003,0.003,0.966,0.0064,0.951,0.977,0.003,0.0002,0.003,0.003,794000,N/A,43000
FL,0 - Did not misuse in the past year,0.064,0.0019,0.061,0.068,0.961,0.0038,0.953,0.968,0.066,0.0019,0.063,0.07,17581000,N/A,525000
GA,0 - Did not misuse in the past year,0.031,0.0011,0.029,0.033,0.965,0.0043,0.955,0.972,0.032,0.0012,0.03,0.034,8425000,N/A,311000
HI,0 - Did not misuse in the past year,0.004,0.0002,0.004,0.004,0.958,0.0074,0.94,0.97,0.004,0.0002,0.004,0.005,1107000,N/A,58000
IA,0 - Did not misuse in the past year,0.009,0.0004,0.008,0.01,0.956,0.0063,0.942,0.967,0.01,0.0004,0.009,0.01,2517000,N/A,119000
ID,0 - Did not misuse in the past year,0.005,0.0002,0.005,0.006,0.956,0.0059,0.943,0.966,0.005,0.0002,0.005,0.006,1394000,N/A,60000
IL,0 - Did not misuse in the past year,0.038,0.0011,0.036,0.04,0.976,0.0027,0.97,0.981,0.039,0.0011,0.037,0.042,10420000,N/A,300000
IN,0 - Did not misuse in the past year,0.02,0.0007,0.018,0.021,0.963,0.005,0.952,0.972,0.02,0.0008,0.019,0.022,5383000,N/A,201000
KS,0 - Did not misuse in the past year,0.008,0.0004,0.008,0.009,0.96,0.0054,0.948,0.97,0.009,0.0004,0.008,0.009,2290000,N/A,103000
KY,0 - Did not misuse in the past year,0.013,0.0006,0.012,0.014,0.954,0.0062,0.94,0.965,0.013,0.0006,0.012,0.015,3549000,N/A,164000
LA,0 - Did not misuse in the past year,0.013,0.0007,0.012,0.015,0.957,0.0053,0.946,0.967,0.014,0.0007,0.012,0.015,3658000,N/A,189000
MA,0 - Did not misuse in the past year,0.021,0.0008,0.02,0.023,0.972,0.004,0.963,0.979,0.022,0.0008,0.02,0.023,5779000,N/A,215000
MD,0 - Did not misuse in the past year,0.018,0.0007,0.016,0.019,0.966,0.0065,0.95,0.976,0.018,0.0008,0.017,0.02,4886000,N/A,204000
ME,0 - Did not misuse in the past year,0.004,0.0002,0.004,0.004,0.972,0.0051,0.96,0.981,0.004,0.0002,0.004,0.005,1134000,N/A,48000
MI,0 - Did not misuse in the past year,0.03,0.0007,0.028,0.031,0.961,0.0039,0.953,0.968,0.031,0.0007,0.029,0.032,8160000,N/A,198000
MN,0 - Did not misuse in the past year,0.017,0.0007,0.015,0.018,0.965,0.0052,0.953,0.974,0.017,0.0007,0.016,0.019,4542000,N/A,194000
MO,0 - Did not misuse in the past year,0.018,0.0007,0.017,0.019,0.966,0.0054,0.954,0.975,0.019,0.0007,0.017,0.02,4942000,N/A,189000
MS,0 - Did not misuse in the past year,0.009,0.0003,0.008,0.009,0.956,0.0064,0.942,0.967,0.009,0.0003,0.008,0.01,2345000,N/A,90000
MT,0 - Did not misuse in the past year,0.003,0.0001,0.003,0.003,0.955,0.0073,0.938,0.967,0.003,0.0001,0.003,0.003,858000,N/A,28000
NC,0 - Did not misuse in the past year,0.031,0.0012,0.028,0.033,0.965,0.0041,0.956,0.972,0.032,0.0012,0.029,0.034,8421000,N/A,335000
ND,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.964,0.0073,0.947,0.976,0.002,0.0001,0.002,0.002,597000,N/A,25000
NE,0 - Did not misuse in the past year,0.006,0.0002,0.005,0.006,0.976,0.0031,0.969,0.981,0.006,0.0002,0.005,0.006,1546000,N/A,60000
NH,0 - Did not misuse in the past year,0.004,0.0002,0.004,0.005,0.969,0.0057,0.956,0.979,0.004,0.0002,0.004,0.005,1144000,N/A,47000
NJ,0 - Did not misuse in the past year,0.027,0.001,0.025,0.029,0.972,0.0037,0.964,0.979,0.028,0.001,0.026,0.03,7316000,N/A,271000
NM,0 - Did not misuse in the past year,0.006,0.0003,0.006,0.007,0.963,0.0051,0.952,0.972,0.006,0.0003,0.006,0.007,1683000,N/A,84000
NV,0 - Did not misuse in the past year,0.009,0.0004,0.008,0.01,0.959,0.0052,0.947,0.968,0.009,0.0005,0.008,0.01,2457000,N/A,120000
NY,0 - Did not misuse in the past year,0.059,0.0015,0.056,0.062,0.973,0.0025,0.968,0.978,0.061,0.0015,0.058,0.064,16131000,N/A,419000
OH,0 - Did not misuse in the past year,0.034,0.0009,0.033,0.036,0.959,0.0041,0.95,0.966,0.036,0.001,0.034,0.038,9419000,N/A,257000
OK,0 - Did not misuse in the past year,0.011,0.0005,0.01,0.012,0.96,0.0066,0.945,0.971,0.012,0.0006,0.011,0.013,3105000,N/A,148000
OR,0 - Did not misuse in the past year,0.012,0.0004,0.012,0.013,0.949,0.0068,0.934,0.961,0.013,0.0004,0.012,0.014,3409000,N/A,108000
PA,0 - Did not misuse in the past year,0.038,0.0011,0.036,0.041,0.97,0.0031,0.963,0.975,0.04,0.0011,0.038,0.042,10548000,N/A,311000
RI,0 - Did not misuse in the past year,0.003,0.0002,0.003,0.004,0.969,0.0054,0.957,0.978,0.003,0.0002,0.003,0.004,882000,N/A,42000
SC,0 - Did not misuse in the past year,0.015,0.0007,0.014,0.017,0.965,0.0057,0.952,0.975,0.016,0.0008,0.014,0.017,4140000,N/A,206000
SD,0 - Did not misuse in the past year,0.003,0.0001,0.002,0.003,0.976,0.0038,0.967,0.982,0.003,0.0001,0.002,0.003,701000,N/A,39000
TN,0 - Did not misuse in the past year,0.02,0.001,0.018,0.022,0.967,0.0053,0.955,0.976,0.021,0.001,0.019,0.023,5511000,N/A,264000
TX,0 - Did not misuse in the past year,0.082,0.0022,0.078,0.087,0.965,0.0033,0.958,0.971,0.086,0.0023,0.081,0.09,22645000,N/A,635000
UT,0 - Did not misuse in the past year,0.009,0.0003,0.008,0.01,0.964,0.0053,0.952,0.973,0.009,0.0004,0.009,0.01,2450000,N/A,93000
VA,0 - Did not misuse in the past year,0.025,0.001,0.023,0.027,0.966,0.0039,0.957,0.973,0.026,0.001,0.024,0.028,6839000,N/A,278000
VT,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.968,0.0062,0.953,0.978,0.002,0.0001,0.002,0.002,528000,N/A,25000
WA,0 - Did not misuse in the past year,0.022,0.0009,0.02,0.024,0.957,0.0064,0.943,0.968,0.023,0.001,0.021,0.025,6077000,N/A,258000
WI,0 - Did not misuse in the past year,0.017,0.0008,0.016,0.019,0.96,0.0067,0.944,0.971,0.018,0.0008,0.016,0.02,4723000,N/A,224000
WV,0 - Did not misuse in the past year,0.005,0.0003,0.005,0.006,0.973,0.0037,0.965,0.979,0.006,0.0003,0.005,0.006,1493000,N/A,73000
WY,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.974,0.0045,0.964,0.981,0.002,0.0001,0.002,0.002,467000,N/A,19000
Overall,1 - Misused within the past year,0.036,0.0008,0.034,0.037,0.036,0.0008,0.034,0.037,1,0,N/A,N/A,9836000,N/A,216000
AK,1 - Misused within the past year,0,0,0,0,0.042,0.0051,0.033,0.053,0.003,0.0003,0.002,0.003,25000,N/A,3000
AL,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.053,0.008,0.04,0.072,0.022,0.0036,0.016,0.031,219000,N/A,36000
AR,1 - Misused within the past year,0,0,0,0,0.035,0.0051,0.026,0.046,0.009,0.0012,0.007,0.012,87000,N/A,12000
