STATE US ABBREVIATION,RC-PAIN RELIEVERS - PAST YEAR MISUSE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,280926000,N/A,3041000
AK,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,586000,N/A,40000
AL,Overall,0.015,0.0008,0.014,0.017,1,0,N/A,N/A,0.015,0.0008,0.014,0.017,4260000,N/A,214000
AR,Overall,0.009,0.0007,0.008,0.011,1,0,N/A,N/A,0.009,0.0007,0.008,0.011,2535000,N/A,197000
AZ,Overall,0.022,0.0015,0.019,0.025,1,0,N/A,N/A,0.022,0.0015,0.019,0.025,6201000,N/A,429000
CA,Overall,0.118,0.0043,0.11,0.127,1,0,N/A,N/A,0.118,0.0043,0.11,0.127,33113000,N/A,1333000
CO,Overall,0.018,0.0014,0.015,0.021,1,0,N/A,N/A,0.018,0.0014,0.015,0.021,4950000,N/A,388000
CT,Overall,0.011,0.0008,0.01,0.013,1,0,N/A,N/A,0.011,0.0008,0.01,0.013,3116000,N/A,235000
DC,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,572000,N/A,35000
DE,Overall,0.003,0.0002,0.003,0.003,1,0,N/A,N/A,0.003,0.0002,0.003,0.003,863000,N/A,53000
FL,Overall,0.067,0.0028,0.062,0.073,1,0,N/A,N/A,0.067,0.0028,0.062,0.073,18944000,N/A,822000
GA,Overall,0.032,0.0019,0.029,0.036,1,0,N/A,N/A,0.032,0.0019,0.029,0.036,9064000,N/A,548000
HI,Overall,0.004,0.0003,0.004,0.005,1,0,N/A,N/A,0.004,0.0003,0.004,0.005,1186000,N/A,91000
IA,Overall,0.01,0.0005,0.009,0.011,1,0,N/A,N/A,0.01,0.0005,0.009,0.011,2687000,N/A,146000
ID,Overall,0.006,0.0005,0.005,0.007,1,0,N/A,N/A,0.006,0.0005,0.005,0.007,1602000,N/A,153000
IL,Overall,0.038,0.002,0.034,0.042,1,0,N/A,N/A,0.038,0.002,0.034,0.042,10700000,N/A,591000
IN,Overall,0.02,0.0015,0.018,0.023,1,0,N/A,N/A,0.02,0.0015,0.018,0.023,5711000,N/A,414000
KS,Overall,0.009,0.0005,0.008,0.01,1,0,N/A,N/A,0.009,0.0005,0.008,0.01,2428000,N/A,144000
KY,Overall,0.013,0.0009,0.012,0.015,1,0,N/A,N/A,0.013,0.0009,0.012,0.015,3775000,N/A,253000
LA,Overall,0.014,0.0012,0.011,0.016,1,0,N/A,N/A,0.014,0.0012,0.011,0.016,3815000,N/A,333000
MA,Overall,0.022,0.0014,0.019,0.025,1,0,N/A,N/A,0.022,0.0014,0.019,0.025,6059000,N/A,401000
MD,Overall,0.018,0.001,0.017,0.021,1,0,N/A,N/A,0.018,0.001,0.017,0.021,5196000,N/A,293000
ME,Overall,0.004,0.0004,0.004,0.005,1,0,N/A,N/A,0.004,0.0004,0.004,0.005,1207000,N/A,111000
MI,Overall,0.031,0.0014,0.028,0.033,1,0,N/A,N/A,0.031,0.0014,0.028,0.033,8578000,N/A,398000
MN,Overall,0.017,0.0012,0.015,0.02,1,0,N/A,N/A,0.017,0.0012,0.015,0.02,4815000,N/A,330000
MO,Overall,0.018,0.0018,0.015,0.022,1,0,N/A,N/A,0.018,0.0018,0.015,0.022,5193000,N/A,521000
MS,Overall,0.009,0.0005,0.008,0.01,1,0,N/A,N/A,0.009,0.0005,0.008,0.01,2447000,N/A,153000
MT,Overall,0.003,0.0003,0.003,0.004,1,0,N/A,N/A,0.003,0.0003,0.003,0.004,948000,N/A,91000
NC,Overall,0.032,0.0017,0.029,0.035,1,0,N/A,N/A,0.032,0.0017,0.029,0.035,8950000,N/A,481000
ND,Overall,0.002,0.0003,0.002,0.003,1,0,N/A,N/A,0.002,0.0003,0.002,0.003,637000,N/A,74000
NE,Overall,0.006,0.0003,0.005,0.007,1,0,N/A,N/A,0.006,0.0003,0.005,0.007,1627000,N/A,96000
NH,Overall,0.004,0.0003,0.004,0.005,1,0,N/A,N/A,0.004,0.0003,0.004,0.005,1218000,N/A,82000
NJ,Overall,0.028,0.0021,0.024,0.033,1,0,N/A,N/A,0.028,0.0021,0.024,0.033,7881000,N/A,605000
NM,Overall,0.006,0.0005,0.006,0.007,1,0,N/A,N/A,0.006,0.0005,0.006,0.007,1786000,N/A,128000
NV,Overall,0.01,0.0007,0.008,0.011,1,0,N/A,N/A,0.01,0.0007,0.008,0.011,2679000,N/A,210000
NY,Overall,0.06,0.0031,0.054,0.066,1,0,N/A,N/A,0.06,0.0031,0.054,0.066,16897000,N/A,892000
OH,Overall,0.035,0.0016,0.032,0.039,1,0,N/A,N/A,0.035,0.0016,0.032,0.039,9941000,N/A,457000
OK,Overall,0.012,0.0008,0.01,0.014,1,0,N/A,N/A,0.012,0.0008,0.01,0.014,3304000,N/A,234000
OR,Overall,0.013,0.0008,0.012,0.015,1,0,N/A,N/A,0.013,0.0008,0.012,0.015,3664000,N/A,216000
PA,Overall,0.039,0.002,0.036,0.044,1,0,N/A,N/A,0.039,0.002,0.036,0.044,11085000,N/A,589000
RI,Overall,0.003,0.0003,0.003,0.004,1,0,N/A,N/A,0.003,0.0003,0.003,0.004,947000,N/A,77000
SC,Overall,0.016,0.0013,0.013,0.019,1,0,N/A,N/A,0.016,0.0013,0.013,0.019,4434000,N/A,364000
SD,Overall,0.003,0.0002,0.002,0.003,1,0,N/A,N/A,0.003,0.0002,0.002,0.003,741000,N/A,51000
TN,Overall,0.021,0.0014,0.019,0.024,1,0,N/A,N/A,0.021,0.0014,0.019,0.024,5919000,N/A,383000
TX,Overall,0.087,0.0037,0.08,0.095,1,0,N/A,N/A,0.087,0.0037,0.08,0.095,24492000,N/A,1109000
UT,Overall,0.01,0.0007,0.008,0.011,1,0,N/A,N/A,0.01,0.0007,0.008,0.011,2735000,N/A,209000
VA,Overall,0.026,0.0014,0.023,0.029,1,0,N/A,N/A,0.026,0.0014,0.023,0.029,7254000,N/A,382000
VT,Overall,0.002,0.0002,0.002,0.002,1,0,N/A,N/A,0.002,0.0002,0.002,0.002,568000,N/A,45000
WA,Overall,0.023,0.0016,0.02,0.027,1,0,N/A,N/A,0.023,0.0016,0.02,0.027,6575000,N/A,455000
WI,Overall,0.018,0.0011,0.016,0.02,1,0,N/A,N/A,0.018,0.0011,0.016,0.02,5031000,N/A,296000
WV,Overall,0.005,0.0005,0.005,0.006,1,0,N/A,N/A,0.005,0.0005,0.005,0.006,1525000,N/A,136000
WY,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,488000,N/A,34000
Overall,0 - Did not misuse in the past year,0.97,0.0009,0.968,0.971,0.97,0.0009,0.968,0.971,1,0,N/A,N/A,272364000,N/A,2975000
AK,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.97,0.008,0.95,0.982,0.002,0.0001,0.002,0.002,569000,N/A,39000
AL,0 - Did not misuse in the past year,0.014,0.0007,0.013,0.016,0.951,0.0081,0.933,0.965,0.015,0.0008,0.013,0.016,4052000,N/A,204000
AR,0 - Did not misuse in the past year,0.009,0.0007,0.007,0.01,0.957,0.0066,0.942,0.968,0.009,0.0007,0.008,0.01,2426000,N/A,193000
AZ,0 - Did not misuse in the past year,0.021,0.0015,0.019,0.024,0.966,0.0081,0.946,0.979,0.022,0.0015,0.019,0.025,5990000,N/A,420000
CA,0 - Did not misuse in the past year,0.114,0.0042,0.106,0.123,0.97,0.0032,0.963,0.976,0.118,0.0043,0.11,0.127,32126000,N/A,1297000
CO,0 - Did not misuse in the past year,0.017,0.0014,0.015,0.02,0.969,0.0059,0.955,0.978,0.018,0.0014,0.015,0.021,4795000,N/A,384000
CT,0 - Did not misuse in the past year,0.011,0.0008,0.009,0.013,0.973,0.0062,0.958,0.983,0.011,0.0009,0.01,0.013,3034000,N/A,235000
DC,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.971,0.0088,0.948,0.984,0.002,0.0001,0.002,0.002,555000,N/A,35000
DE,0 - Did not misuse in the past year,0.003,0.0002,0.003,0.003,0.969,0.0064,0.954,0.979,0.003,0.0002,0.003,0.003,836000,N/A,53000
FL,0 - Did not misuse in the past year,0.066,0.0028,0.061,0.072,0.978,0.0032,0.971,0.983,0.068,0.0028,0.063,0.074,18525000,N/A,808000
GA,0 - Did not misuse in the past year,0.031,0.0019,0.028,0.035,0.972,0.0041,0.963,0.979,0.032,0.0019,0.029,0.036,8808000,N/A,534000
HI,0 - Did not misuse in the past year,0.004,0.0003,0.004,0.005,0.967,0.0082,0.947,0.98,0.004,0.0003,0.004,0.005,1147000,N/A,89000
IA,0 - Did not misuse in the past year,0.009,0.0005,0.008,0.01,0.972,0.0083,0.95,0.984,0.01,0.0005,0.009,0.011,2612000,N/A,145000
ID,0 - Did not misuse in the past year,0.006,0.0005,0.005,0.007,0.965,0.0075,0.946,0.977,0.006,0.0005,0.005,0.007,1546000,N/A,148000
IL,0 - Did not misuse in the past year,0.037,0.002,0.033,0.041,0.973,0.0043,0.964,0.981,0.038,0.0021,0.034,0.043,10416000,N/A,577000
IN,0 - Did not misuse in the past year,0.02,0.0014,0.017,0.023,0.969,0.0054,0.956,0.978,0.02,0.0015,0.018,0.023,5532000,N/A,400000
KS,0 - Did not misuse in the past year,0.008,0.0005,0.007,0.009,0.968,0.0057,0.955,0.978,0.009,0.0005,0.008,0.01,2351000,N/A,144000
KY,0 - Did not misuse in the past year,0.013,0.0009,0.011,0.015,0.961,0.0046,0.951,0.97,0.013,0.0009,0.012,0.015,3629000,N/A,248000
LA,0 - Did not misuse in the past year,0.013,0.0011,0.011,0.015,0.953,0.0057,0.941,0.963,0.013,0.0012,0.011,0.016,3636000,N/A,327000
MA,0 - Did not misuse in the past year,0.021,0.0014,0.018,0.024,0.975,0.0064,0.959,0.985,0.022,0.0015,0.019,0.025,5905000,N/A,400000
MD,0 - Did not misuse in the past year,0.018,0.001,0.016,0.02,0.955,0.0077,0.937,0.967,0.018,0.001,0.016,0.02,4960000,N/A,287000
ME,0 - Did not misuse in the past year,0.004,0.0004,0.004,0.005,0.987,0.0036,0.978,0.993,0.004,0.0004,0.004,0.005,1191000,N/A,111000
MI,0 - Did not misuse in the past year,0.03,0.0014,0.027,0.033,0.977,0.0028,0.97,0.982,0.031,0.0014,0.028,0.034,8379000,N/A,393000
MN,0 - Did not misuse in the past year,0.017,0.0011,0.015,0.019,0.978,0.0051,0.965,0.986,0.017,0.0012,0.015,0.02,4708000,N/A,324000
MO,0 - Did not misuse in the past year,0.018,0.0017,0.015,0.021,0.956,0.009,0.935,0.971,0.018,0.0018,0.015,0.022,4965000,N/A,500000
MS,0 - Did not misuse in the past year,0.008,0.0005,0.007,0.01,0.964,0.0077,0.945,0.976,0.009,0.0006,0.008,0.01,2358000,N/A,151000
MT,0 - Did not misuse in the past year,0.003,0.0003,0.003,0.004,0.974,0.0059,0.959,0.983,0.003,0.0003,0.003,0.004,923000,N/A,88000
NC,0 - Did not misuse in the past year,0.031,0.0017,0.028,0.035,0.973,0.0044,0.963,0.981,0.032,0.0018,0.029,0.036,8712000,N/A,483000
ND,0 - Did not misuse in the past year,0.002,0.0003,0.002,0.003,0.977,0.0118,0.938,0.992,0.002,0.0003,0.002,0.003,622000,N/A,70000
NE,0 - Did not misuse in the past year,0.006,0.0003,0.005,0.006,0.981,0.0056,0.966,0.989,0.006,0.0003,0.005,0.007,1595000,N/A,94000
NH,0 - Did not misuse in the past year,0.004,0.0003,0.004,0.005,0.982,0.0049,0.969,0.99,0.004,0.0003,0.004,0.005,1196000,N/A,82000
NJ,0 - Did not misuse in the past year,0.027,0.002,0.024,0.032,0.974,0.0052,0.961,0.982,0.028,0.0021,0.024,0.033,7673000,N/A,582000
NM,0 - Did not misuse in the past year,0.006,0.0004,0.005,0.007,0.955,0.0085,0.935,0.97,0.006,0.0005,0.005,0.007,1706000,N/A,124000
